departure_airport,arrival_airport
Dera Ghazi Khan Airport,Jinnah International Airport
Jinnah International Airport,Dera Ghazi Khan Airport
Iskandar Airport,Achmad Yani Airport
Dzaoudzi Pamandzi International Airport,Prince Said Ibrahim International Airport
Multan International Airport,Sharjah International Airport
Sharjah International Airport,Multan International Airport
Beijing Nanyuan Airport,Yulin Yuyang Airport
Yulin Yuyang Airport,Beijing Nanyuan Airport
Licenciado Benito Juarez International Airport,General Mariano Escobedo International Airport
Miyazaki Airport,Chubu Centrair International Airport
Naples International Airport,Verona Villafranca Airport
Angelholm-Helsingborg Airport,Stockholm-Arlanda Airport
Stockholm-Arlanda Airport,Angelholm-Helsingborg Airport
Stockholm-Arlanda Airport,Ronneby Airport
Es Senia Airport,Houari Boumediene Airport
Alicante International Airport,Es Senia Airport
Es Senia Airport,Alicante International Airport
Stockholm-Arlanda Airport,Sundsvall-Harnosand Airport
Stockholm-Arlanda Airport,Kalmar Airport
Kalmar Airport,Stockholm-Arlanda Airport
Stockholm-Arlanda Airport,Ostersund Airport
Aberdeen Dyce Airport,Oslo Lufthavn
Oslo Lufthavn,Aberdeen Dyce Airport
Oslo Lufthavn,Alesund Airport
Stockholm-Arlanda Airport,Brussels Airport
Brussels Airport,Stockholm-Arlanda Airport
Stockholm-Arlanda Airport,Bergen Airport Flesland
Bergen Airport Flesland,Stockholm-Arlanda Airport
Bergen Airport Flesland,Trondheim Airport
Edmonton International Airport,Victoria International Airport
Ottawa Macdonald-Cartier International Airport,Lester B. Pearson International Airport
Skelleftea Airport,Stockholm-Arlanda Airport
Stockholm-Arlanda Airport,Pulkovo Airport
Kiruna Airport,Stockholm-Arlanda Airport
Pulkovo Airport,Stockholm-Arlanda Airport
Stockholm-Arlanda Airport,Geneva Cointrin International Airport
Geneva Cointrin International Airport,Stockholm-Arlanda Airport
Manchester Airport,Stockholm-Arlanda Airport
Stavanger Airport Sola,Tromso Airport
Haugesund Airport,Oslo Lufthavn
Kristiansund Airport (Kvernberget),Oslo Lufthavn
Kristiansand Airport,Oslo Lufthavn
Stockholm-Arlanda Airport,Dusseldorf Airport
Dusseldorf Airport,Stockholm-Arlanda Airport
Stockholm-Arlanda Airport,Manchester Airport
Belgrade Nikola Tesla Airport,Tunis Carthage International Airport
Djerba Zarzis International Airport,Zurich Airport
Dusseldorf Airport,Tunis Carthage International Airport
Lyon Saint-Exupery Airport,Monastir Habib Bourguiba International Airport
Monastir Habib Bourguiba International Airport,Lyon Saint-Exupery Airport
Monastir Habib Bourguiba International Airport,Paris-Orly Airport
Paris-Orly Airport,Monastir Habib Bourguiba International Airport
Tunis Carthage International Airport,Belgrade Nikola Tesla Airport
Tunis Carthage International Airport,Dusseldorf Airport
Zurich Airport,Djerba Zarzis International Airport
Nampula Airport,Maputo Airport
Maputo Airport,Nampula Airport
Nampula Airport,Lichinga Airport
Lichinga Airport,Nampula Airport
Maputo Airport,Quelimane Airport
Quelimane Airport,Maputo Airport
Frankfurt am Main Airport,Turin Airport
Bergen Airport Flesland,Frankfurt am Main Airport
Frankfurt am Main Airport,Bergen Airport Flesland
Helsinki Vantaa Airport,Boryspil International Airport
Boryspil International Airport,Helsinki Vantaa Airport
London Gatwick Airport,Minsk National Airport
Minsk National Airport,London Gatwick Airport
Fukuoka Airport,Tsushima Airport
Sendai Airport,New Chitose Airport
Sendai Airport,Chubu Centrair International Airport
Tsushima Airport,Fukuoka Airport
Frankfurt am Main Airport,Riga International Airport
Riga International Airport,Frankfurt am Main Airport
Brussels Airport,Riga International Airport
Riga International Airport,Brussels Airport
Riga International Airport,Stavanger Airport Sola
Stavanger Airport Sola,Riga International Airport
Soekarno-Hatta International Airport,Buluh Tumbang (H A S Hanandjoeddin) Airport
Soekarno-Hatta International Airport,Sultan Khairun Babullah Airport
Buluh Tumbang (H A S Hanandjoeddin) Airport,Soekarno-Hatta International Airport
Sultan Khairun Babullah Airport,Soekarno-Hatta International Airport
Domodedovo International Airport,Minsk National Airport
Minsk National Airport,Domodedovo International Airport
Fukushima Airport,Osaka International Airport
Osaka International Airport,Fukushima Airport
Sochi International Airport,Minsk National Airport
Minsk National Airport,Sochi International Airport
Astana International Airport,Almaty Airport
Geneva Cointrin International Airport,Frankfurt am Main Airport
Frankfurt am Main Airport,Katowice International Airport
Katowice International Airport,Frankfurt am Main Airport
Nadym Airport,Roshchino International Airport
Roshchino International Airport,Domodedovo International Airport
Roshchino International Airport,Nadym Airport
William P Hobby Airport,Louis Armstrong New Orleans International Airport
Dallas Love Field,El Paso International Airport
Dallas Love Field,Lubbock Preston Smith International Airport
El Paso International Airport,McCarran International Airport
Lubbock Preston Smith International Airport,Dallas Love Field
Austin Bergstrom International Airport,Dallas Love Field
Louis Armstrong New Orleans International Airport,Nashville International Airport
Rick Husband Amarillo International Airport,Dallas Love Field
Dallas Love Field,Midland International Airport
Rick Husband Amarillo International Airport,Denver International Airport
Austin Bergstrom International Airport,Valley International Airport
William P Hobby Airport,Midland International Airport
McCarran International Airport,Midland International Airport
Midland International Airport,William P Hobby Airport
Midland International Airport,McCarran International Airport
San Antonio International Airport,El Paso International Airport
Vilnius International Airport,Boryspil International Airport
Nashville International Airport,William P Hobby Airport
Barcelona International Airport,Riga International Airport
Nice-Cote d'Azur Airport,Riga International Airport
Riga International Airport,Barcelona International Airport
Riga International Airport,Nice-Cote d'Azur Airport
Boryspil International Airport,Istanbul Airport
Boryspil International Airport,Lviv International Airport
Zvartnots International Airport,Boryspil International Airport
Dallas Love Field,Rick Husband Amarillo International Airport
Valley International Airport,William P Hobby Airport
William P Hobby Airport,Austin Bergstrom International Airport
Dresden Airport,Frankfurt am Main Airport
Frankfurt am Main Airport,Dresden Airport
Frankfurt am Main Airport,Krakow John Paul II International Airport
Krakow John Paul II International Airport,Frankfurt am Main Airport
Salekhard Airport,Roshchino International Airport
Hannover Airport,Frankfurt am Main Airport
Istanbul Airport,Warsaw Chopin Airport
London Heathrow Airport,Warsaw Chopin Airport
Adolfo Suarez Madrid Barajas Airport,Warsaw Chopin Airport
Warsaw Chopin Airport,Istanbul Airport
Warsaw Chopin Airport,London Heathrow Airport
Warsaw Chopin Airport,Adolfo Suarez Madrid Barajas Airport
Juneau International Airport,Seattle Tacoma International Airport
Adak Airport,Ted Stevens Anchorage International Airport
Kodiak Airport,Ted Stevens Anchorage International Airport
Ted Stevens Anchorage International Airport,Adak Airport
Ted Stevens Anchorage International Airport,Kodiak Airport
Ted Stevens Anchorage International Airport,Juneau International Airport
Juneau International Airport,Ted Stevens Anchorage International Airport
Ketchikan International Airport,Seattle Tacoma International Airport
Eleftherios Venizelos International Airport,Boryspil International Airport
Portland International Airport,Palm Springs International Airport
Seattle Tacoma International Airport,Norman Y. Mineta San Jose International Airport
Ontario International Airport,Seattle Tacoma International Airport
Seattle Tacoma International Airport,Ontario International Airport
Portland International Airport,Phoenix Sky Harbor International Airport
Phoenix Sky Harbor International Airport,Portland International Airport
Boryspil International Airport,Zvartnots International Airport
Dnipropetrovsk International Airport,Ben Gurion International Airport
Ben Gurion International Airport,Dnipropetrovsk International Airport
Domodedovo International Airport,Boryspil International Airport
Kisumu Airport,Jomo Kenyatta International Airport
Jomo Kenyatta International Airport,Kisumu Airport
Frankfurt am Main Airport,Zurich Airport
Zurich Airport,Frankfurt am Main Airport
Jomo Kenyatta International Airport,Mombasa Moi International Airport
Istanbul Airport,Minsk National Airport
Minsk National Airport,Istanbul Airport
Stockholm-Arlanda Airport,Riga International Airport
Arrachart Airport,Ivato Airport
Tolanaro Airport,Ivato Airport
Prince Said Ibrahim International Airport,Ivato Airport
Fascene Airport,Ivato Airport
Toliara Airport,Ivato Airport
Ivato Airport,Arrachart Airport
Ivato Airport,Tolanaro Airport
Ivato Airport,Prince Said Ibrahim International Airport
Ivato Airport,Fascene Airport
Ivato Airport,Toliara Airport
Henri Coanda International Airport,Timisoara Traian Vuia Airport
Denver International Airport,Sacramento International Airport
McCarran International Airport,San Francisco International Airport
San Diego International Airport,Norman Y. Mineta San Jose International Airport
Chicago Midway International Airport,John Glenn Columbus International Airport
Sacramento International Airport,Ontario International Airport
Baltimore/Washington International Thurgood Marshall Airport,Orlando International Airport
Louis Armstrong New Orleans International Airport,Orlando International Airport
Nashville International Airport,Raleigh Durham International Airport
Baltimore/Washington International Thurgood Marshall Airport,Jacksonville International Airport
Baltimore/Washington International Thurgood Marshall Airport,General Mitchell International Airport
